Nonproprietary_Name_of_Drug,Drug_Pharmacological_Class,Proprietary_Name_of_Drug,NDC_Product_Code,Indication_For_Use,General_Side_Effects,Very_Common_Psychiatric_Side_Effects,Common_Psychiatric_Side_Effects,Uncommon_Psychiatric_Side_Effects,Rare_Psychiatric_Side_Effects,Very_Rare_Psychiatric_Side_Effects,Postmarketing_Reports_of_Psychiatric_Side_Effects,Frequency_Not_Reported_For_Psychiatric_Side_Effects
Ezetimibe,Cholesterol absorption inhibitors,Zetia,66582-414,Lowers cholesterol in blood,"Abdominal fullness, black tarry stools, bleeding gums, bloating",,,,,,Depression,
Interferon alfa-2b,Interferon alpha/ Recombinant Protein,Intron A,0085-0539,"Hairy cell leukemia, malignant melanoma, follicular lymphoma, Kaposi's sarcoma caused by AIDS, certain types of genital warts, chronic hepatitis B or C in adults, chronic hepatitis B in children who are at least 1 year old","Acid or sour stomach; bleeding gums; blistering, crusting, irritation, itching, or reddening of the skin; body aches or pain; burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings; change in taste, or bad, unusual, or unpleasant (after) taste; cracked, dry, or scaly skin; hair loss or thinning of the hair; irritation in the mouth; joint pain; lack or loss of strength; loss of memory; muscle or bone pain; pain or tenderness around the eyes and cheekbones; poor concentration; problems with memory; redness and swelling of the gums; stuffy or runny nose; swollen joints","Depression (up to 40%), confusion (up to 12%), insomnia (up to 12%), anxiety, emotional lability, nervousness, agitation  Common (1% to 10%): Decreased libido, sleep disorder Uncommon (0.1% to 1%): Suicidal ideation, suicide attempt, suicide Rare (0.01% to 0.1%): Aggressive behavior (sometimes directed against others), psychosis (including hallucinations) Very rare (less than 0.01%): Abnormal thinking, apathy, depression aggravated, feeling of ebriety, neurosis, paroniria, personality disorder Frequency not reported: Abnormal dreaming, delirium, manic depression, mania, psychosis, mental status change, bipolar disorders Postmarketing reports: Homicidal ideation",,,,,,
Prednisone,Corticosteroids,Perrigo Prednisone,10768-7085,"Various allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders.","Aggression; agitation; blurred vision; decrease in the amount of urine; dizziness; fast, slow, pounding, or irregular heartbeat or pulse; headache; irritability; mood changes; noisy, rattling breathing; numbness or tingling in the arms or legs; pounding in the ears; shortness of breath; swelling of the fingers, hands, feet, or lower legs; trouble thinking, speaking, or walking; troubled breathing at rest; weight gain",,,,,,,"Amnesia, anxiety, delirium, depression, emotional instability and irritability, euphoria, hallucinations, severe psychiatric symptoms, insomnia, long-term memory loss, mania, mood swings, neuritis, neuropathy, paresthesia, personality changes, psychiatric disorders including steroid psychoses or aggravation of preexisting psychiatric conditions, restlessness, schizophrenia, verbal memory loss, withdrawn behavior"
Triamcinolone,Corticosteroids,Triamcinolone Acetonide,53217-014,"Various allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders.","Aggression; agitation; blurred vision; decrease in the amount of urine; dizziness; fast, slow, pounding, or irregular heartbeat or pulse; headache; irritability; mood changes; noisy, rattling breathing; numbness or tingling in the arms or legs; pounding in the ears; shortness of breath; swelling of the fingers, hands, feet, or lower legs; trouble thinking, speaking, or walking; troubled breathing at rest; weight gain",,,,,,,"Amnesia, anxiety, delirium, depression, emotional instability and irritability, euphoria, hallucinations, severe psychiatric symptoms, insomnia, long-term memory loss, mania, mood swings, neuritis, neuropathy, paresthesia, personality changes, psychiatric disorders including steroid psychoses or aggravation of preexisting psychiatric conditions, restlessness, schizophrenia, verbal memory loss, withdrawn behavior"
Lorazepam,Benzodiazepine,Ativan,65084-463,Anxiety disorders,"Agitation, sedation, and tremor, dizziness, drowsiness, and hypersomnia",,"Depression, emotional lability, confusion",,,,," Hallucinations, insomnia, psychosis, excitability, irritability, aggressive behavior, agitation, hostility, anxiety, vivid dreams, hyperactivity, organic disinhibition, depersonalization, apathy, excitement, feeling mad, illusion, nightmares, sleep disorders, suicide ideation, rage"
Secobarbital,CNS depressant/ barbiturates,Seconal Sodium,0187-4220,"Insomnia, sedative prior to anesthesia for surgery","Allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. ","Drowsiness, feeling tired, ""hangover"" effect (drowsiness the day after a dose) headache, dizziness memory problems dry mouth upset stomach feeling restless or excited (especially in children)",,,,,,
Venlafaxine,SSNRI (Selective Serotonin and Norepinephrine Reuptake Inhibitor),Effexor,61919-938,"Major depressive disorder, anxiety, and panic disorder","Anorgasmia, asthenia, constipation, dizziness, drowsiness, insomnia, nausea, nervousness, headache, anorexia, decreased appetite, delayed ejaculation, diaphoresis, and xerostomia, abdominal pain, anxiety, blurred vision, hypertension, impotence, tremor, visual disturbance, vomiting, diarrhea, dyspepsia, increased serum cholesterol, pharyngitis, vasodilatation, weight loss, decreased libido, increased dream activity, yawning, abnormal dreams, and flatulence",Insomnia (up to 25%),"Abnormal dreams, depression, agitation, anxiety","Hallucination, derealization, apathy, hypomania",Mania,,," Suicidal ideation, suicidal behaviors, delirium, aggression"
Topiramate,Anticonvulsant,Topamax,61919-189,Seizures,"Anxiety, ataxia, confusion, diarrhea, diplopia, dizziness, drowsiness, dysphasia, fatigue, lack of concentration, memory impairment, nausea, nervousness, paresthesia, psychomotor disturbance, speech disturbance, depression, visual disturbance, weight loss, dysgeusia, mood changes, anorexia","Somnolence (15%), memory loss (10%), depression","Depression, difficulty with concentration/attention, anxiety psychomotor slowing, altered mood, confusion, cognitive difficulty, bradyphrenia, decreased libido, expressive language disorder, disorientation, aggression, aggression, anger, abnormal behavior","Suicidal ideation, suicide attempt, hallucination, psychotic disorder, hallucination auditory, hallucination visual, apathy, lack of spontaneous speech, sleep disorder, affect lability, restlessness, crying, dysphemia, euphoria, paranoia, perseveration, panic attack, tearfulness, reading disorder, flat affect, thinking abnormal, listlessness, middle insomnia, distractibility, early morning awakening, panic reaction, elevated mood","Mania, panic disorder, feelings of despair, hypomania",,,
Paroxetine,SSRIs (selective serotonin reuptake inhibitor),Paxil,60505-0402,"Depression, obsessive-compulsive disorder, anxiety disorders, post-traumatic stress disorder (PTSD), and premenstrual dysphoric disorder (PMDD)","Asthenia, constipation, diarrhea, dizziness, drowsiness, ejaculatory disorder, erectile dysfunction, insomnia, male genital disease, nausea, headache, decreased libido, delayed ejaculation, diaphoresis, and xerostomia",Insomnia,"Abnormal dreams, agitation, anxiety, depersonalization, depression, drugged feeling, emotional lability, lack of emotion, nervousness","Abnormal thinking, alcohol abuse, bruxism, euphoria, hallucinations, hostility, lack of emotion, manic reaction, neurosis, paranoid reaction","Abnormal electroencephalogram, antisocial reaction, bulimia, delirium, delusions, drug dependence, hysteria, irritability, manic-depressive reaction, panic attacks, psychosis, psychotic depression, stupor, withdrawal syndrome",,, Suicidal ideation and behavior
Paroxetine,SSRIs (selective serotonin reuptake inhibitor),Pexeva,61786-603,"Depression, obsessive-compulsive disorder, anxiety disorders, post-traumatic stress disorder (PTSD), and premenstrual dysphoric disorder (PMDD)","Asthenia, constipation, diarrhea, dizziness, drowsiness, ejaculatory disorder, erectile dysfunction, insomnia, male genital disease, nausea, headache, decreased libido, delayed ejaculation, diaphoresis, and xerostomia",Insomnia,"Abnormal dreams, agitation, anxiety, depersonalization, depression, drugged feeling, emotional lability, lack of emotion, nervousness","Abnormal thinking, alcohol abuse, bruxism, euphoria, hallucinations, hostility, lack of emotion, manic reaction, neurosis, paranoid reaction","Abnormal electroencephalogram, antisocial reaction, bulimia, delirium, delusions, drug dependence, hysteria, irritability, manic-depressive reaction, panic attacks, psychosis, psychotic depression, stupor, withdrawal syndrome",,, Suicidal ideation and behavior
Paroxetine,SSRIs (selective serotonin reuptake inhibitor),Brisdelle,68968-9075,"Depression, obsessive-compulsive disorder, anxiety disorders, post-traumatic stress disorder (PTSD), and premenstrual dysphoric disorder (PMDD)","Asthenia, constipation, diarrhea, dizziness, drowsiness, ejaculatory disorder, erectile dysfunction, insomnia, male genital disease, nausea, headache, decreased libido, delayed ejaculation, diaphoresis, and xerostomia",Insomnia,"Abnormal dreams, agitation, anxiety, depersonalization, depression, drugged feeling, emotional lability, lack of emotion, nervousness","Abnormal thinking, alcohol abuse, bruxism, euphoria, hallucinations, hostility, lack of emotion, manic reaction, neurosis, paranoid reaction","Abnormal electroencephalogram, antisocial reaction, bulimia, delirium, delusions, drug dependence, hysteria, irritability, manic-depressive reaction, panic attacks, psychosis, psychotic depression, stupor, withdrawal syndrome",,, Suicidal ideation and behavior
Duloxetine,SSNRI (Selective Serotonin and Norepinephrine Reuptake Inhibitor),Cymbalta,0002-3235,"Major depressive disorder, general anxiety disorder","asthenia, constipation, diarrhea, dizziness, drowsiness, fatigue, hypersomnia, insomnia, nausea, sedation, headache, and xerostomia, agitation, erectile dysfunction, nervousness, psychomotor agitation, tension, vomiting, abdominal pain, anorexia, decreased appetite, decreased libido, hyperhidrosis, loss of libido, and restlessness",Insomnia,"Abnormal dreams, agitation, anxiety, sleep disorder","Apathy, bruxism, disorientation/confusional state, irritability, mood swings, nervousness, poor quality sleep, suicide attempt","Aggression and anger, completed suicide, hallucinations, mania, suicidal behavior and ideation",,,
