Suicide_Reasons,ICD_10_CM_Codes,ICD_10_CM_Codes_Description,Symptoms,UMLS_Concept_id,UMLS_Concept_id_Description,Drug_Treatment_Options,NDC_Product_Code
Death by drowning natural water,X71.3,Intentional self-harm by drowning and submersion in natural water,"Increase carbon dioxide, decrease in oxygen until involuntarily inhalation occurs which bring in water, some is swallowed, and the person may vomit, involuntary gasping for air continues for several minutes. Cerebral hypoxia continues until it becomes irreversible, and death occurs.",C0564930,Suicide - drowning,,
Use of firearms,X74.9,Intentional self-harm by unspecified firearm discharge,"severe pain, reduced cognitive abilities, reduced motor functions, subdural hematoma, foreign bodies in the head, pneumocephalus and cerebrospinal fluid leaks, ",C0564931,Suicide - firearms,,
"Use of small firearms e.g., handgun, revolver, pistol",X72,Intentional self-harm by handgun discharge,"severe pain, reduced cognitive abilities, reduced motor functions, subdural hematoma, foreign bodies in the head, pneumocephalus and cerebrospinal fluid leaks, ","C0564931, C0418304","Suicide - firearms, Suicide or selfinflicted injury by handgun",,
Use of larger firearms,X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge","severe pain, reduced cognitive abilities, reduced motor functions, subdural hematoma, foreign bodies in the head, pneumocephalus and cerebrospinal fluid leaks, ",C0564931,Suicide - firearms,,
Use of shotgun,X73.0,Intentional self-harm by shotgun discharge,"severe pain, reduced cognitive abilities, reduced motor functions, subdural hematoma, foreign bodies in the head, pneumocephalus and cerebrospinal fluid leaks, ","C0564931, C0418305","Suicide - firearms, Suicide or selfinflicted injury by shotgun",,
Use of rifle,X73.1,Intentional self-harm by hunting rifle discharge,"severe pain, reduced cognitive abilities, reduced motor functions, subdural hematoma, foreign bodies in the head, pneumocephalus and cerebrospinal fluid leaks, ",C0564931,Suicide - firearms,,
Use of machine gun,X73.2,Intentional self-harm by machine gun discharge,"severe pain, reduced cognitive abilities, reduced motor functions, subdural hematoma, foreign bodies in the head, pneumocephalus and cerebrospinal fluid leaks, ",C0564931,Suicide - firearms,,
Use of explosive material (dry heat),X75,Intentional self-harm by explosive material,"Blisters, Pain (the degree of pain is not related to the severity of the burn -- the most serious burns can be painless), Peeling skin, Red skin, Shock (watch for pale and clammy skin, weakness, bluish lips and fingernails, and a drop in alertness), Swelling, White or charred skin",C0418308,Suicide or selfinflicted injury by explosives,,
Use of steam,X77.0,Intentional self-harm by steam or hot vapors,"Blisters, Pain (the degree of pain is not related to the severity of the burn -- the most serious burns can be painless), Peeling skin, Red skin, Shock (watch for pale and clammy skin, weakness, bluish lips and fingernails, and a drop in alertness), Swelling, White or charred skin",C0600046,Burning due to contact with hot steam,,
Use of hot water (wet heat),X77.1,Intentional self-harm by hot tap water,"Blisters, Pain (the degree of pain is not related to the severity of the burn -- the most serious burns can be painless), Peeling skin, Red skin, Shock (watch for pale and clammy skin, weakness, bluish lips and fingernails, and a drop in alertness), Swelling, White or charred skin",C0332691,Scalding injury,,
Use of hot liquid (wet heat),X77.2,Intentional self-harm by other hot fluids,"Blisters, Pain (the degree of pain is not related to the severity of the burn -- the most serious burns can be painless), Peeling skin, Red skin, Shock (watch for pale and clammy skin, weakness, bluish lips and fingernails, and a drop in alertness), Swelling, White or charred skin",C0332691,Scalding injury,,
Ingestion of acid/pesticide,T60,Toxic effect of pesticides,"Charred mouth; burned lips, Burns on the head, face, or neck, Wheezing, Change in voice, Difficulty breathing; coughing, Singed nose hair or eyebrows, Dark, carbon-stained mucus","C0262653, C0569047","Ingestion of toxic substance, Intentional pesticide product poisoning",,
Use of electric appliance,X77.3,Intentional self-harm by hot household appliances,"Blisters, Pain (the degree of pain is not related to the severity of the burn -- the most serious burns can be painless), Peeling skin, Red skin, Shock (watch for pale and clammy skin, weakness, bluish lips and fingernails, and a drop in alertness), Swelling, White or charred skin","C0441040, C0277600","Electric fire, Death by fire",,
Drowning in bathtub,X71.0,Intentional self-harm by drowning and submersion while in bathtub,"Increase carbon dioxide, decrease in oxygen until involuntarily inhalation occurs which bring in water, some is swallowed, and the person may vomit, involuntary gasping for air continues for several minutes. Cerebral hypoxia continues until it becomes irreversible, and death occurs.",C0564930,Suicide - drowning,,
Drowning  in Swimming pool,"X71.1, X71.2","Intentional self-harm by drowning and submersion while in swimming pool, Intentional self-harm by drowning and submersion after jump into swimming pool","Increase carbon dioxide, decrease in oxygen until involuntarily inhalation occurs which bring in water, some is swallowed, and the person may vomit, involuntary gasping for air continues for several minutes. Cerebral hypoxia continues until it becomes irreversible, and death occurs.",C0564930,Suicide - drowning,,
Use of fire/flame (dry heat),X76,"Intentional self-harm by smoke, fire and flames","Blisters, Pain (the degree of pain is not related to the severity of the burn -- the most serious burns can be painless), Peeling skin, Red skin, Shock (watch for pale and clammy skin, weakness, bluish lips and fingernails, and a drop in alertness), Swelling, White or charred skin","C0277600, C0418326","Death by fire, Suicide or self injury by burning or fire",,
Bleeding/cutting using glass,X78.0,Intentional self-harm by sharp glass,"cardiac arrhythmia, followed by hypovolemia, shock, circulatory collapse or cardiac arrest and death","C0558257, C0557937, C0564932","Cutting own wrists, Cutting own throat, Suicide - cut/stab",,
Bleeding/cutting wrist using knife,X78.1,Intentional self-harm by knife,"cardiac arrhythmia, followed by hypovolemia, shock, circulatory collapse or cardiac arrest and death","C0558257, C0564932","Cutting own wrists, Suicide - cut/stab",,
Using dagger,X78.2,Intentional self-harm by sword or dagger,"cardiac arrhythmia, followed by hypovolemia, shock, circulatory collapse or cardiac arrest and death","C0564932, C0418313","Suicide - cut/stab, Suicide or selfinflicted injury by stabbing",,
Wrist Cutting,X78.8,Intentional self-harm by other sharp object,"cardiac arrhythmia, followed by hypovolemia, shock, circulatory collapse or cardiac arrest and death","C0558257, C0564932, C0418311","Cutting own wrists, Suicide - cut/stab, Suicide or selfinflicted injury by cutting",,
Bleeding using miscellaneous sharp object,X78.9,Intentional self-harm by unspecified sharp object,"cardiac arrhythmia, followed by hypovolemia, shock, circulatory collapse or cardiac arrest and death","C1960082, C0564932","Penetrating injury caused by sharp object, , Suicide - cut/stab",,
Jumping from height,X80,Intentional self-harm by jumping from a high place,"organ damage, and bone fractures","C0564933, C0557940, C0261985, C0261987","Suicide - jumping from a high place. Jumping from height, Suicide and selfinflicted injury by jumping from residential premises, Suicide and selfinflicted injury by jumping from natural sites",,
